time,alt,time24
7:00 PM,68,0
7:00 PM,60,0
7:00 PM,60,0
8:00 PM,55,1
8:00 PM,58,1
8:00 PM,60,1
7:00 PM,54,0
7:00 PM,51,0
7:00 PM,52,0
8:00 PM,35,1
8:00 PM,38,1
8:00 PM,36,1
9:30 PM,17,2
9:30 PM,21,2
9:30 PM,18,2
7:00 PM,52,72
7:00 PM,52,72
7:00 PM,48,72
8:00 PM,35,73
8:00 PM,33,73
8:00 PM,31,73
9:30 PM,15,74
9:30 PM,18,74
9:30 PM,17,74
7:00 PM,50,192
7:00 PM,60,192
7:00 PM,50,192
8:00 PM,45,193
8:00 PM,50,193
8:00 PM,45,193
9:30 PM,33,194
9:30 PM,36,194
9:30 PM,40,194
7:00 PM,48,216
7:00 PM,47,216
7:00 PM,45,216
8:00 PM,28,217
8:00 PM,33,217
8:00 PM,30,217
9:30 PM,11,218
9:30 PM,14,218
9:30 PM,13,218
7:00 PM,40,384
7:00 PM,41,384
7:00 PM,40,384
8:00 PM,27,385
8:00 PM,25,385
8:00 PM,26,385
9:30 PM,4,386
9:30 PM,8,386
9:30 PM,9,386
