time,alt,time24
7:00 PM,30,0
7:00 PM,41,0
7:00 PM,42,0
8:00 PM,40,1
8:00 PM,41,1
8:00 PM,40,1
7:00 PM,32,0
7:00 PM,34,0
7:00 PM,29,0
8:00 PM,45,1
8:00 PM,47,1
8:00 PM,49,1
9:30 PM,55,2
9:30 PM,53,2
9:30 PM,57,2
7:00 PM,34,72
7:00 PM,30,72
7:00 PM,35,72
9:30 PM,57,74
9:30 PM,53,74
9:30 PM,59,74
7:00 PM,51,192
7:00 PM,50,192
7:00 PM,55,192
8:00 PM,52,193
8:00 PM,56,193
8:00 PM,50,193
9:30 PM,66,194
9:30 PM,65,194
9:30 PM,65,194
7:00 PM,38,216
7:00 PM,36,216
7:00 PM,39,216
8:00 PM,53,217
8:00 PM,51,217
8:00 PM,54,217
9:30 PM,58,218
9:30 PM,59,218
9:30 PM,56,218
7:00 PM,44,384
7:00 PM,45,384
7:00 PM,42,384
8:00 PM,53,385
8:00 PM,56,385
8:00 PM,54,385
9:30 PM,57,386
9:30 PM,58,386
9:30 PM,56,386
