time,alt,time24
7:00 PM,50,0
7:00 PM,60,0
7:00 PM,60,0
8:00 PM,70,1
8:00 PM,70,1
8:00 PM,73,1
7:00 PM,58,0
7:00 PM,56,0
7:00 PM,61,0
8:00 PM,74,1
8:00 PM,70,1
8:00 PM,73,1
9:30 PM,82,2
9:30 PM,85,2
9:30 PM,83,2
7:00 PM,57,72
7:00 PM,58,72
7:00 PM,61,72
8:00 PM,73,73
8:00 PM,74,73
8:00 PM,76,73
9:30 PM,82,74
9:30 PM,84,74
9:30 PM,80,74
7:00 PM,71,192
7:00 PM,73,192
7:00 PM,75,192
8:00 PM,80,193
8:00 PM,80,193
8:00 PM,85,193
9:30 PM,80,194
9:30 PM,85,194
9:30 PM,84,194
7:00 PM,64,216
7:00 PM,62,216
7:00 PM,66,216
8:00 PM,64,217
8:00 PM,62,217
8:00 PM,66,217
9:30 PM,80,218
9:30 PM,82,218
9:30 PM,83,218
7:00 PM,72,384
7:00 PM,68,384
7:00 PM,70,384
8:00 PM,84,385
8:00 PM,83,385
8:00 PM,80,385
9:30 PM,75,386
9:30 PM,78,386
9:30 PM,76,386
