time,alt,time24
7:00 PM,80,0
7:00 PM,70,0
7:00 PM,68,0
8:00 PM,60,1
8:00 PM,61,1
8:00 PM,59,1
7:00 PM,63,0
7:00 PM,67,0
7:00 PM,64,0
8:00 PM,54,1
8:00 PM,58,1
8:00 PM,57,1
9:30 PM,47,2
9:30 PM,42,2
9:30 PM,45,2
7:00 PM,64,72
7:00 PM,67,72
7:00 PM,62,72
8:00 PM,55,73
8:00 PM,54,73
8:00 PM,55,73
9:30 PM,44,74
9:30 PM,41,74
9:30 PM,42,74
7:00 PM,75,192
7:00 PM,70,192
7:00 PM,77,192
8:00 PM,60,193
8:00 PM,60,193
8:00 PM,67,193
9:30 PM,50,194
9:30 PM,50,194
9:30 PM,54,194
7:00 PM,59,216
7:00 PM,61,216
7:00 PM,63,216
8:00 PM,49,217
8:00 PM,55,217
8:00 PM,53,217
9:30 PM,42,218
9:30 PM,39,218
9:30 PM,40,218
7:00 PM,57,384
7:00 PM,59,384
7:00 PM,58,384
8:00 PM,50,385
8:00 PM,51,385
8:00 PM,48,385
9:30 PM,35,386
9:30 PM,37,386
9:30 PM,39,386
