time,alt,time24
7:00 PM,38,0
7:00 PM,40,0
7:00 PM,39,0
8:00 PM,40,1
8:00 PM,42,1
8:00 PM,41,1
7:00 PM,42,0
7:00 PM,41,0
7:00 PM,40,0
8:00 PM,42,1
8:00 PM,41,1
8:00 PM,40,1
9:30 PM,39,2
9:30 PM,43,2
9:30 PM,42,2
7:00 PM,41,72
7:00 PM,40,72
7:00 PM,42,72
8:00 PM,43,73
8:00 PM,40,73
8:00 PM,41,73
9:30 PM,44,74
9:30 PM,40,74
9:30 PM,43,74
7:00 PM,60,192
7:00 PM,60,192
7:00 PM,56,192
8:00 PM,54,193
8:00 PM,50,193
8:00 PM,54,193
9:30 PM,48,194
9:30 PM,49,194
9:30 PM,50,194
7:00 PM,42,216
7:00 PM,43,216
7:00 PM,40,216
8:00 PM,39,217
8:00 PM,43,217
8:00 PM,40,217
9:30 PM,44,218
9:30 PM,43,218
9:30 PM,42,218
7:00 PM,43,384
7:00 PM,40,384
7:00 PM,40,384
8:00 PM,40,385
8:00 PM,41,385
8:00 PM,40,385
9:30 PM,39,386
9:30 PM,41,386
9:30 PM,42,386
