time,alt,time24
7:00 PM,50,0
7:00 PM,52,0
7:00 PM,60,0
8:00 PM,56,1
8:00 PM,59,1
8:00 PM,62,1
7:00 PM,20,192
7:00 PM,18,192
7:00 PM,20,192
8:00 PM,37,193
8:00 PM,40,193
8:00 PM,37,193
9:30 PM,40,194
9:30 PM,40,194
9:30 PM,42,194
7:00 PM,58,0
7:00 PM,61,0
7:00 PM,62,0
8:00 PM,54,1
8:00 PM,55,1
8:00 PM,52,1
9:30 PM,40,2
9:30 PM,42,2
9:30 PM,39,2
7:00 PM,56,72
7:00 PM,59,72
7:00 PM,58,72
8:00 PM,71,73
8:00 PM,73,73
8:00 PM,69,73
9:30 PM,67,74
9:30 PM,69,74
9:30 PM,67,74
7:00 PM,2,216
7:00 PM,0,216
7:00 PM,4,216
8:00 PM,19,217
8:00 PM,17,217
8:00 PM,17,217
9:30 PM,34,218
9:30 PM,33,218
9:30 PM,35,218
